Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
So Long,https://secondhandsongs.com/performance/667378/versions,Sten & Stanley,https://secondhandsongs.com/artist/48338,Sweden,1976
So Long,https://secondhandsongs.com/performance/107380/versions,Finn Nørbygaard & Jette Torp,https://secondhandsongs.com/artist/38573+40187,Denmark,1995
So Long,https://secondhandsongs.com/performance/1296570/versions,Studio 99,https://secondhandsongs.com/artist/124887,United Kingdom,2006
So Long,https://secondhandsongs.com/performance/101268/versions,The Meatmen,https://secondhandsongs.com/artist/35996,United States,2009
So Long,https://secondhandsongs.com/performance/1390773/versions,Scumbag Millionaire,https://secondhandsongs.com/artist/163813,Sweden,2022
So Long,https://secondhandsongs.com/performance/75236/versions,Arthur Greenslade & His Orchestra,https://secondhandsongs.com/artist/31594,United Kingdom,1975
Griechischer Wein - So Long,https://secondhandsongs.com/performance/317926/versions,Ady Zehnpfennig,https://secondhandsongs.com/artist/53994,Germany,1975
So Long,https://secondhandsongs.com/performance/88593/versions,Moog,https://secondhandsongs.com/artist/184905,Australia,1976
So Long,https://secondhandsongs.com/performance/626246/versions,The Alan Tew Orchestra,https://secondhandsongs.com/artist/16341,United Kingdom,1977
"I Do, I Do, I Do, I Do - Mamma Mia - Fernando - Honey, Honey - So Long - Waterloo - Nina, Pretty Ba…",https://secondhandsongs.com/performance/224158/versions,Alojz Bouda,https://secondhandsongs.com/artist/63073,Slovakia,1977
So Long,https://secondhandsongs.com/submission/204206,Gunter Noris and His Dance Band (Günter Noris),https://secondhandsongs.com/artist/64285,Germany,1978
So Long,https://secondhandsongs.com/performance/1037219/versions,Hot Lips Big Band,https://secondhandsongs.com/artist/108522,Sweden,1985
So Long,https://secondhandsongs.com/performance/1120613/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020
Jeho laskominy,https://secondhandsongs.com/performance/1403187/versions,Valérie Čižmárová - Orchestr Groš divadla Semafor,https://secondhandsongs.com/artist/65720+211347,Czech Republic,1975
So Long,https://secondhandsongs.com/performance/290898/versions,Peter Belli,https://secondhandsongs.com/artist/34273,Denmark,1975
Moi moi,https://secondhandsongs.com/performance/321658/versions,Monika & Aarno Ranisen Orkesteri,https://secondhandsongs.com/artist/43827+68450,Finland,1975
So slnkom choď,https://secondhandsongs.com/performance/1374226/versions,Helena Blehárová,https://secondhandsongs.com/artist/65881,Slovakia,1976