Title,Album,ReleaseDate,CoverNumber
He Is Your Brother,Ring Ring,1972,6
People Need Love,Ring Ring,1972,8
"Another Town, Another Train",Ring Ring,1973,3
Disillusion,Ring Ring,1973,1
Me and Bobby and Bobby's Brother,Ring Ring,1973,1
"Nina, Pretty Ballerina",Ring Ring,1973,9
Ring Ring,Ring Ring,1973,45
Dance,Waterloo,1974,9
Hasta mañana,Waterloo,1974,39
"Honey, Honey",Waterloo,1974,53
King Kong Song,Waterloo,1974,2
My Mama Said,Waterloo,1974,2
Sitting in the Palmtree,Waterloo,1974,2
Suzy-Hang-Around,Waterloo,1974,2
Waterloo,Waterloo,1974,116
What About Livingstone,Waterloo,1974,4
I've Been Waiting for You,ABBA,1974,16
So Long,ABBA,1974,17
"Hey, Hey Helen",ABBA,1975,2
"I Do, I Do, I Do, I Do, I Do",ABBA,1975,42
Intermezzo Nr. 1,ABBA,1975,1
Mamma mia,ABBA,1975,121
Man in the Middle,ABBA,1975,1
Rock Me,ABBA,1975,12
SOS,ABBA,1975,121
Tropical Loveland,ABBA,1975,2
Arrival,Arrival,1976,20
Dancing Queen,Arrival,1976,210
Dum Dum Diddle,Arrival,1976,5
"Knowing Me, Knowing You",Arrival,1976,86
"Money, Money, Money",Arrival,1976,96
"My Love, My Life",Arrival,1976,22
That's Me,Arrival,1976,3
Tiger,Arrival,1976,5
When I Kissed the Teacher,Arrival,1976,17
Why Did It Have to Be Me,Arrival,1976,17
Eagle,The Album,1977,15
Hole in Your Soul,The Album,1977,1
I Wonder,The Album,1977,10
I'm a Marionette,The Album,1977,4
Move On,The Album,1977,3
"One Man, One Woman",The Album,1977,7
Take a Chance on Me,The Album,1977,76
Thank You for the Music,The Album,1977,77
The Name of the Game,The Album,1977,34
Summer Night City,Voulez-Vous,1978,19
Angeleyes,Voulez-Vous,1979,9
As Good as New,Voulez-Vous,1979,1
Chiquitita,Voulez-Vous,1979,82
Does Your Mother Know,Voulez-Vous,1979,56
Gimme! Gimme! Gimme!,Voulez-Vous,1979,74
I Have a Dream,Voulez-Vous,1979,81
If It Wasn't for the Nights,Voulez-Vous,1979,3
Lovelight,Voulez-Vous,1979,1
Lovers ,Voulez-Vous,1979,3
The King Has Lost His Crown,Voulez-Vous,1979,2
Voulez-vous,Voulez-Vous,1979,39
Happy New Year,Super Trouper,1980,27
Lay All Your Love on Me,Super Trouper,1980,54
On and on and On,Super Trouper,1980,9
Our Last Summer,Super Trouper,1980,7
Super Trouper,Super Trouper,1980,66
The Piper,Super Trouper,1980,3
The Way Old Friends Do,Super Trouper,1980,23
The Winner Takes It All,Super Trouper,1980,186
Head Over Heels,The Visitors,1981,7
I Let the Music Speak,The Visitors,1981,5
Like an Angel Passing Through My Room,The Visitors,1981,10
One of Us,The Visitors,1981,44
Slipping Through My Fingers,The Visitors,1981,13
Soldiers,The Visitors,1981,3
The Visitors,The Visitors,1981,7
When All Is Said and Done,The Visitors,1981,11
Cassandra,The Visitors,1982,1
The Day Before You Came,The Visitors,1982,20
Under Attack,The Visitors,1982,3